"combination","queries","percentage","label"
"Aggregate",453,0.181127548980408,"18.1%"
"Scan only",236,0.0943622550979608,"9.4%"
"IJ + Aggregate",225,0.0899640143942423,"9.0%"
"OJ + Aggregate",181,0.0723710515793683,"7.2%"
"Filter + Aggregate",121,0.0483806477409036,"4.8%"
"Filter",90,0.0359856057576969,"3.6%"
"IJ",77,0.0307876849260296,"3.1%"
"Filter + Aggregate + Top-K",69,0.0275889644142343,"2.8%"
"Window",63,0.0251899240303878,"2.5%"
"IJ + Window",61,0.024390243902439,"2.4%"
"Filter + Aggregate + Subquery",60,0.0239904038384646,"2.4%"
"Aggregate + Window",54,0.0215913634546182,"2.2%"
"Filter + Subquery",45,0.0179928028788485,"1.8%"
"OJ",45,0.0179928028788485,"1.8%"
"Filter + IJ + Aggregate",43,0.0171931227508996,"1.7%"
"IJ + OJ + Aggregate + Window + CTE + Set op.",40,0.0159936025589764,"1.6%"
"FOJ + Aggregate",36,0.0143942423030788,"1.4%"
"IJ + Aggregate + CTE + Subquery",34,0.0135945621751299,"1.4%"
"IJ + Aggregate + Window",32,0.0127948820471811,"1.3%"
"Filter + IJ",31,0.0123950419832067,"1.2%"
"OJ + Aggregate + Subquery",29,0.0115953618552579,"1.2%"
"OJ + Aggregate + CTE + Subquery",25,0.00999600159936026,"1.0%"
"Set op.",24,0.00959616153538585,"1.0%"
"Aggregate + Set op.",23,0.00919632147141144,"0.9%"
"Filter + IJ + LatJ + Aggregate + Subquery",23,0.00919632147141144,"0.9%"
"Top-K",23,0.00919632147141144,"0.9%"
"IJ + Aggregate + Subquery",21,0.00839664134346262,"0.8%"
"FOJ",14,0.00559776089564174,"0.6%"
"Filter + OJ + Aggregate",13,0.00519792083166733,"0.5%"
"Aggregate + CTE + Subquery",12,0.00479808076769292,"0.5%"
"Other combinations (125 patterns)",298,0.119152339064374,"11.9%"
