"feature","queries","percentage","label"
"Positional join",5,0.00199920031987205,"0.2%"
"ASOF join",10,0.0039984006397441,"0.4%"
"Anti join",21,0.00839664134346262,"0.8%"
"Cross join",22,0.00879648140743703,"0.9%"
"Semi join",22,0.00879648140743703,"0.9%"
"Lateral join",38,0.0151939224310276,"2%"
"Full outer join",68,0.0271891243502599,"3%"
"CAST",94,0.0375849660135946,"4%"
"Top-K",109,0.0435825669732107,"4%"
"Set operation",131,0.0523790483806477,"5%"
"CASE",141,0.0563774490203918,"6%"
"CTE",246,0.0983606557377049,"10%"
"ORDER BY",272,0.10875649740104,"11%"
"HAVING",282,0.112754898040784,"11%"
"Window",323,0.129148340663735,"13%"
"DISTINCT",339,0.135545781687325,"14%"
"NULL handling",356,0.14234306277489,"14%"
"Subquery",407,0.162734906037585,"16%"
"Left/right outer join",412,0.164734106357457,"16%"
"Filter",641,0.256297481007597,"26%"
"Inner join",650,0.259896041583367,"26%"
"GROUP BY",1341,0.536185525789684,"54%"
"Aggregate",1670,0.667732906837265,"67%"
"SELECT",2501,1,"100%"
