"construct","bucket","queries","percentage"
"CTEs","0",2253,0.900839664134346
"CTEs","1",118,0.0471811275489804
"CTEs","2",55,0.0219912035185926
"CTEs","3",10,0.0039984006397441
"CTEs","4+",65,0.0259896041583367
"Joins","0",1382,0.552578968412635
"Joins","1",854,0.341463414634146
"Joins","2",126,0.0503798480607757
"Joins","3",61,0.024390243902439
"Joins","4+",78,0.031187524990004
"Subqueries","0",2149,0.859256297481008
"Subqueries","1",312,0.124750099960016
"Subqueries","2",22,0.00879648140743703
"Subqueries","3",5,0.00199920031987205
"Subqueries","4+",13,0.00519792083166733
