"window_pct","family","full_seconds","ivm_seconds","speedup"
5,"DuckDB",134.7,104.1,1.29394812680115
5,"Fabric",787.5,682.6,1.15367711690595
5,"Spark",386,647.3,0.596323188629693
15,"DuckDB",153.45,154.4,0.993847150259067
15,"Fabric",704.95,591.85,1.19109571682014
15,"Spark",407.8,697.85,0.584366267822598
25,"DuckDB",155.4,172.1,0.902963393375944
25,"Fabric",753.45,677.4,1.11226749335695
25,"Spark",467.2,750.4,0.622601279317697
35,"DuckDB",171.8,213.6,0.804307116104869
35,"Fabric",870.95,655.4,1.32888312480928
35,"Spark",438.55,825.85,0.531028637161712
45,"DuckDB",159.85,237.55,0.672910966112397
45,"Fabric",837.45,719.5,1.16393328700486
45,"Spark",452.95,874.75,0.517805087167762
