"window_pct","engine","n","low","high","seconds","family","method"
5,"databricks-enzyme",2,490.3,1082.5,786.4,"Databricks","Enzyme (AUTO)"
5,"duckdb",2,130.5,138.9,134.7,"DuckDB","Full refresh"
5,"duckdb-openivm",2,103.1,105.1,104.1,"DuckDB","OpenIVM"
5,"fabric-jvm-35",2,783.5,791.5,787.5,"Fabric","Full refresh"
5,"fabric-openivm-jvm-35",2,613.8,751.4,682.6,"Fabric","OpenIVM"
5,"feldera",2,26,26.5,26.25,"Feldera","Feldera"
5,"spark",2,372.8,399.2,386,"Spark","Full refresh"
5,"spark-openivm",2,623.9,670.7,647.3,"Spark","OpenIVM"
15,"databricks-enzyme",2,512.7,622.3,567.5,"Databricks","Enzyme (AUTO)"
15,"duckdb",2,132.9,174,153.45,"DuckDB","Full refresh"
15,"duckdb-openivm",2,153.9,154.9,154.4,"DuckDB","OpenIVM"
15,"fabric-jvm-35",2,690.4,719.5,704.95,"Fabric","Full refresh"
15,"fabric-openivm-jvm-35",2,589.4,594.3,591.85,"Fabric","OpenIVM"
15,"feldera",2,63.2,72.7,67.95,"Feldera","Feldera"
15,"spark",2,406.5,409.1,407.8,"Spark","Full refresh"
15,"spark-openivm",2,685.1,710.6,697.85,"Spark","OpenIVM"
25,"databricks-enzyme",2,504,522.3,513.15,"Databricks","Enzyme (AUTO)"
25,"duckdb",2,154.4,156.4,155.4,"DuckDB","Full refresh"
25,"duckdb-openivm",2,171.9,172.3,172.1,"DuckDB","OpenIVM"
25,"fabric-jvm-35",2,700.4,806.5,753.45,"Fabric","Full refresh"
25,"fabric-openivm-jvm-35",2,671.4,683.4,677.4,"Fabric","OpenIVM"
25,"feldera",2,95.5,98.3,96.9,"Feldera","Feldera"
25,"spark",2,427.6,506.8,467.2,"Spark","Full refresh"
25,"spark-openivm",2,747.2,753.6,750.4,"Spark","OpenIVM"
35,"databricks-enzyme",1,NA,NA,NA,"Databricks","Enzyme (AUTO)"
35,"duckdb",2,160.8,182.8,171.8,"DuckDB","Full refresh"
35,"duckdb-openivm",2,212.9,214.3,213.6,"DuckDB","OpenIVM"
35,"fabric-jvm-35",2,828.4,913.5,870.95,"Fabric","Full refresh"
35,"fabric-openivm-jvm-35",2,599.4,711.4,655.4,"Fabric","OpenIVM"
35,"feldera",2,120.1,124.7,122.4,"Feldera","Feldera"
35,"spark",2,424.4,452.7,438.55,"Spark","Full refresh"
35,"spark-openivm",2,803.7,848,825.85,"Spark","OpenIVM"
45,"databricks-enzyme",2,539.3,1052.3,795.8,"Databricks","Enzyme (AUTO)"
45,"duckdb",2,159.7,160,159.85,"DuckDB","Full refresh"
45,"duckdb-openivm",2,235.9,239.2,237.55,"DuckDB","OpenIVM"
45,"fabric-jvm-35",2,758.4,916.5,837.45,"Fabric","Full refresh"
45,"fabric-openivm-jvm-35",2,707.5,731.5,719.5,"Fabric","OpenIVM"
45,"feldera",2,180,184.5,182.25,"Feldera","Feldera"
45,"spark",2,438.4,467.5,452.95,"Spark","Full refresh"
45,"spark-openivm",2,851.1,898.4,874.75,"Spark","OpenIVM"
