insertion_pct,engine,seconds
5,databricks-enzyme,153.128
5,duckdb,186.20535469055176
5,duckdb-openivm,120.66248774528503
5,fabric-jvm-35,951.6389553546906
5,fabric-openivm-jvm-35,741.4024596214294
5,feldera,9.678
5,spark,596.0252051353455
5,spark-openivm,639.0912153720856
10,databricks-enzyme,116.386
10,duckdb,189.37897419929504
10,duckdb-openivm,116.71488809585571
10,fabric-jvm-35,961.5574290752411
10,fabric-openivm-jvm-35,875.876211643219
10,feldera,10.806
10,spark,506.3534116744995
10,spark-openivm,928.8840301036835
15,databricks-enzyme,156.69
15,duckdb,177.43704795837402
15,duckdb-openivm,118.69494938850403
15,fabric-jvm-35,847.5112600326538
15,fabric-openivm-jvm-35,877.5317091941833
15,feldera,12.04
15,spark,514.3258972167969
15,spark-openivm,425.53660917282104
20,databricks-enzyme,128.923
20,duckdb,184.69651675224304
20,duckdb-openivm,126.75287413597107
20,fabric-jvm-35,907.5856676101685
20,fabric-openivm-jvm-35,733.5479469299316
20,feldera,10.501
20,spark,538.267196893692
20,spark-openivm,417.90073251724243
