"engine","batch_num","core_minutes","boundary_clamped","display_name","batch"
"fabric-openivm-jvm-35",1,0.0011127050002416,FALSE,"Fabric-OpenIVM","Batch 1"
"fabric-jvm-35",1,0.000786045833031336,FALSE,"Fabric","Batch 1"
"databricks-enzyme",1,0,FALSE,"Databricks Enzyme","Batch 1"
"feldera",1,0.096200720004042,FALSE,"Feldera","Batch 1"
"spark-openivm",1,0.0193271999951204,FALSE,"Spark-OpenIVM","Batch 1"
"duckdb-openivm",1,0.00162658499896526,FALSE,"DuckDB-OpenIVM","Batch 1"
"spark",1,0.0109629262049297,FALSE,"Spark","Batch 1"
"duckdb",1,0.00083108500123024,FALSE,"DuckDB","Batch 1"
"fabric-openivm-jvm-35",2,0.00119924999992053,FALSE,"Fabric-OpenIVM","Batch 2"
"fabric-jvm-35",2,0.00136582499980927,FALSE,"Fabric","Batch 2"
"databricks-enzyme",2,0,FALSE,"Databricks Enzyme","Batch 2"
"feldera",2,0.00297181832790375,FALSE,"Feldera","Batch 2"
"spark-openivm",2,0.0201337592839666,FALSE,"Spark-OpenIVM","Batch 2"
"duckdb-openivm",2,0.00164863250136375,FALSE,"DuckDB-OpenIVM","Batch 2"
"spark",2,0.0331600054333521,FALSE,"Spark","Batch 2"
"duckdb",2,0.00267790583491325,FALSE,"DuckDB","Batch 2"
"fabric-openivm-jvm-35",3,0.00194713166634242,FALSE,"Fabric-OpenIVM","Batch 3"
"fabric-jvm-35",3,0.00228480416635672,FALSE,"Fabric","Batch 3"
"databricks-enzyme",3,0,FALSE,"Databricks Enzyme","Batch 3"
"feldera",3,0.00274062833507856,TRUE,"Feldera","Batch 3"
"spark-openivm",3,0.0213866083310048,FALSE,"Spark-OpenIVM","Batch 3"
"duckdb-openivm",3,0.00195672833522161,FALSE,"DuckDB-OpenIVM","Batch 3"
"spark",3,0.0516080891825755,FALSE,"Spark","Batch 3"
"duckdb",3,0.00434573000371456,TRUE,"DuckDB","Batch 3"
