"engine","direction","batch_num","megabytes","boundary_clamped","display_name","batch"
"fabric-openivm-jvm-35","Received",1,41.85767756131,FALSE,"Fabric-OpenIVM","Batch 1"
"fabric-openivm-jvm-35","Transmitted",1,118.234620706168,FALSE,"Fabric-OpenIVM","Batch 1"
"fabric-jvm-35","Received",1,36.599345831509,FALSE,"Fabric","Batch 1"
"fabric-jvm-35","Transmitted",1,21.3041185340109,FALSE,"Fabric","Batch 1"
"databricks-enzyme","Received",1,1.9912241523504,FALSE,"Databricks Enzyme","Batch 1"
"databricks-enzyme","Transmitted",1,3.34878026584496,FALSE,"Databricks Enzyme","Batch 1"
"feldera","Received",1,198.495865365557,FALSE,"Feldera","Batch 1"
"feldera","Transmitted",1,198.647792401608,FALSE,"Feldera","Batch 1"
"spark-openivm","Received",1,83.1936743628294,FALSE,"Spark-OpenIVM","Batch 1"
"spark-openivm","Transmitted",1,82.4321693288874,FALSE,"Spark-OpenIVM","Batch 1"
"duckdb-openivm","Received",1,6.61438480013929,FALSE,"DuckDB-OpenIVM","Batch 1"
"duckdb-openivm","Transmitted",1,0.180798574515956,FALSE,"DuckDB-OpenIVM","Batch 1"
"spark","Received",1,29.2303976329538,FALSE,"Spark","Batch 1"
"spark","Transmitted",1,28.2624698777685,FALSE,"Spark","Batch 1"
"duckdb","Received",1,5.12930154249697,FALSE,"DuckDB","Batch 1"
"duckdb","Transmitted",1,0.196897614204891,FALSE,"DuckDB","Batch 1"
"fabric-openivm-jvm-35","Received",2,22.4156820726763,FALSE,"Fabric-OpenIVM","Batch 2"
"fabric-openivm-jvm-35","Transmitted",2,13.8354931392526,FALSE,"Fabric-OpenIVM","Batch 2"
"fabric-jvm-35","Received",2,34.8772899123367,FALSE,"Fabric","Batch 2"
"fabric-jvm-35","Transmitted",2,19.4625494229755,FALSE,"Fabric","Batch 2"
"databricks-enzyme","Received",2,1.24555871769048,FALSE,"Databricks Enzyme","Batch 2"
"databricks-enzyme","Transmitted",2,1.5490566524454,FALSE,"Databricks Enzyme","Batch 2"
"feldera","Received",2,1.29102667162863,FALSE,"Feldera","Batch 2"
"feldera","Transmitted",2,1.30145224263701,FALSE,"Feldera","Batch 2"
"spark-openivm","Received",2,36.3175731407775,FALSE,"Spark-OpenIVM","Batch 2"
"spark-openivm","Transmitted",2,36.5484365301312,FALSE,"Spark-OpenIVM","Batch 2"
"duckdb-openivm","Received",2,0.0241767562033806,FALSE,"DuckDB-OpenIVM","Batch 2"
"duckdb-openivm","Transmitted",2,0.729801093998138,FALSE,"DuckDB-OpenIVM","Batch 2"
"spark","Received",2,42.0181821537287,FALSE,"Spark","Batch 2"
"spark","Transmitted",2,42.162495985897,FALSE,"Spark","Batch 2"
"duckdb","Received",2,0.0227925240035542,FALSE,"DuckDB","Batch 2"
"duckdb","Transmitted",2,0.308081701085265,FALSE,"DuckDB","Batch 2"
"fabric-openivm-jvm-35","Received",3,21.8107020315045,FALSE,"Fabric-OpenIVM","Batch 3"
"fabric-openivm-jvm-35","Transmitted",3,13.4773522139667,FALSE,"Fabric-OpenIVM","Batch 3"
"fabric-jvm-35","Received",3,32.8485721016258,FALSE,"Fabric","Batch 3"
"fabric-jvm-35","Transmitted",3,17.690638211098,FALSE,"Fabric","Batch 3"
"databricks-enzyme","Received",3,1.1781382872556,FALSE,"Databricks Enzyme","Batch 3"
"databricks-enzyme","Transmitted",3,1.45664071961766,FALSE,"Databricks Enzyme","Batch 3"
"feldera","Received",3,0.709104012111096,TRUE,"Feldera","Batch 3"
"feldera","Transmitted",3,0.714184574459287,TRUE,"Feldera","Batch 3"
"spark-openivm","Received",3,39.5733068521278,FALSE,"Spark-OpenIVM","Batch 3"
"spark-openivm","Transmitted",3,40.0861672582274,FALSE,"Spark-OpenIVM","Batch 3"
"duckdb-openivm","Received",3,0.0211674429192881,FALSE,"DuckDB-OpenIVM","Batch 3"
"duckdb-openivm","Transmitted",3,0.886320984501089,FALSE,"DuckDB-OpenIVM","Batch 3"
"spark","Received",3,46.9179220510085,FALSE,"Spark","Batch 3"
"spark","Transmitted",3,47.0025985127408,FALSE,"Spark","Batch 3"
"duckdb","Received",3,0.0130381232326275,TRUE,"DuckDB","Batch 3"
"duckdb","Transmitted",3,0.096985338592123,TRUE,"DuckDB","Batch 3"
