query_name,phase_reached,meta_is_incremental,actual_is_incremental,is_correct,time_select_ms,time_mv_ms,time_refresh_ms,time_verify_ms,error
tpcdi_ivm0001_brokerage_cash_transaction,6,1,1,1,0.27157,22.23,1.6659,4.0167,""
tpcdi_ivm0002_brokerage_daily_market,6,1,1,1,0.31329,25.58,22.175,4.9857,""
tpcdi_ivm0003_brokerage_holding_history,6,1,1,1,0.19242,20.315,1.5198,2.6368,""
tpcdi_ivm0004_brokerage_trade,6,1,1,1,0.40479,22.691,1.667,6.8923,""
tpcdi_ivm0005_brokerage_trade_history,6,1,1,1,0.1493,16.829,11.856,3.3232,""
tpcdi_ivm0006_brokerage_watch_history,6,1,1,1,0.21407,21.171,18.105,3.6107,""
tpcdi_ivm0007_crm_customer_mgmt,1,1,0,0,0,0,0,0,"Catalog Error: Table with name batch1_customer_mgmt does not exist!
Did you mean "batch1_tax_rate"?

LINE 45:     from batch1_customer_mgmt
                  ^"
tpcdi_ivm0008_finwire_company,1,1,0,0,0,0,0,0,"Catalog Error: Table with name batch1_finwire does not exist!
Did you mean "batch1_hr"?

LINE 20: from batch1_finwire
              ^"
tpcdi_ivm0009_finwire_financial,1,1,0,0,0,0,0,0,"Catalog Error: Table with name batch1_finwire does not exist!
Did you mean "batch1_hr"?

LINE 26:     from batch1_finwire
                  ^"
tpcdi_ivm0010_finwire_security,1,1,0,0,0,0,0,0,"Catalog Error: Table with name batch1_finwire does not exist!
Did you mean "batch1_hr"?

LINE 21:     from batch1_finwire
                  ^"
tpcdi_ivm0011_hr_employee,6,1,1,1,0.21019,15.676,0.82955,2.9909,""
tpcdi_ivm0012_reference_date,6,1,1,1,0.26167,15.815,0.90252,5.5196,""
tpcdi_ivm0013_reference_industry,6,1,1,1,0.12812,14.733,0.93776,2.0244,""
tpcdi_ivm0014_reference_status_type,6,1,1,1,0.15421,15.113,1.2075,1.6023,""
tpcdi_ivm0015_reference_tax_rate,6,1,1,1,0.12454,14.119,1.0909,1.5246,""
tpcdi_ivm0016_reference_trade_type,6,1,1,1,0.1341,13.9,1.0463,1.6361,""
tpcdi_ivm0017_syndicated_prospect,6,1,1,1,0.47974,25.878,1.5831,7.8451,""
tpcdi_ivm0018_dim_account,6,0,1,1,0.33787,15.769,0.55344,4.7471,""
tpcdi_ivm0019_dim_broker,1,1,0,0,0,0,0,0,"Binder Error: No function matches the given name and argument types 'md5(BIGINT)'. You might need to add explicit type casts.
	Candidate functions:
	md5(VARCHAR) -> VARCHAR
	md5(BLOB) -> VARCHAR


LIN..."
tpcdi_ivm0020_dim_company,6,1,1,1,0.39675,18.147,1.1398,6.1431,""
tpcdi_ivm0021_dim_customer,6,0,1,1,0.90336,25.407,17.325,11.945,""
tpcdi_ivm0022_dim_date,6,1,1,1,0.27534,16.228,0.8725,4.7128,""
tpcdi_ivm0023_dim_security,6,0,1,1,0.35467,20.06,1.2459,4.683,""
tpcdi_ivm0024_dim_trade,6,1,1,1,0.2517,16.12,0.93186,5.0692,""
tpcdi_ivm0025_fact_cash_balances,6,1,1,1,0.25591,17.81,15.28,3.5628,""
tpcdi_ivm0026_fact_cash_transactions,6,0,1,1,0.31233,21.53,1.4197,4.3112,""
tpcdi_ivm0027_fact_holdings,6,0,1,1,0.41563,17.916,0.60462,8.0622,""
tpcdi_ivm0028_fact_market_history,6,0,1,1,0.38585,18.103,0.56515,8.8036,""
tpcdi_ivm0029_fact_trade,6,0,1,1,0.38459,26.518,2.0164,8.5422,""
tpcdi_ivm0030_fact_watches,6,0,1,1,0.43203,22.216,2.8271,4.9847,""
tpcdi_ivm0031_accounts,6,0,1,1,0.84478,23.282,2.3833,10.608,""
tpcdi_ivm0032_cash_transactions,6,0,1,1,0.2666,20.493,1.6444,3.9733,""
tpcdi_ivm0033_companies,6,0,1,1,0.44172,23.76,1.6316,6.2496,""
tpcdi_ivm0034_customers,6,0,1,1,0.60907,22.802,1.3705,9.2557,""
tpcdi_ivm0035_daily_market,6,0,1,1,0.55873,20.23,1.0109,8.53,""
tpcdi_ivm0036_date,6,1,1,1,0.26439,18.008,1.2658,6.0095,""
tpcdi_ivm0037_employees,6,1,1,1,0.19829,16.717,0.9742,2.8802,""
tpcdi_ivm0038_financials,6,0,1,1,0.59735,22.525,1.2828,6.6247,""
tpcdi_ivm0039_holdings_history,6,1,1,1,0.30155,16.221,0.75192,5.8901,""
tpcdi_ivm0040_securities,6,0,1,1,0.51402,21.225,15.916,5.5628,""
tpcdi_ivm0041_trades,6,0,1,1,0.38292,19.346,1.1793,7.1533,""
tpcdi_ivm0042_trades_history,6,0,1,1,0.55161,28.318,1.8708,10.959,""
tpcdi_ivm0043_watches,6,1,1,1,0.4064,20.86,0.83901,5.0009,""
tpcdi_ivm0044_watches_history,6,1,1,1,0.30799,18.279,0.66548,5.5717,""
tpcdi_ivm0045_wrk_company_financials,6,0,1,1,0.23742,19.227,1.2988,3.9302,""
