query_name,phase_reached,meta_is_incremental,actual_is_incremental,is_correct,time_select_ms,time_mv_ms,time_refresh_ms,time_verify_ms,error
lakeflow_0001,6,1,1,1,0.33759,107.67,39.782,4.977,""
lakeflow_0002,6,1,1,1,0.29756,94.532,34.028,6.4058,""
lakeflow_0003,6,1,1,1,0.35702,89.153,35.479,3.9143,""
lakeflow_0004,6,1,1,1,0.29658,93.758,42.341,5.1247,""
lakeflow_0005,6,1,1,1,0.31938,92.897,1.5486,4.1796,""
query_0001,6,1,1,1,0.18097,95.713,1.4929,1.9383,""
query_0002,6,1,1,1,0.48197,96.956,75.873,23.073,""
query_0003,6,1,1,1,0.19482,110.17,1.722,5.5325,""
query_0004,6,1,1,1,0.21382,102.56,49.723,2.7053,""
query_0005,6,1,1,1,0.21818,96.888,1.272,2.1826,""
query_0006,6,1,1,1,0.22101,95.392,33.814,1.4316,""
query_0007,6,1,1,1,0.25966,95.139,41.961,2.6872,""
query_0008,6,1,1,1,0.19307,98.266,31.814,1.815,""
query_0009,6,1,1,1,0.22956,93.319,34.089,2.1576,""
query_0010,6,1,1,1,0.17584,94.948,42.548,5.3651,""
query_0011,6,1,1,1,0.20107,95.705,42.325,5.5088,""
query_0012,6,1,1,1,0.27836,114.58,55.638,58.391,""
query_0013,6,1,1,1,0.26317,108.46,55.17,3.1588,""
query_0014,6,1,1,1,0.17156,90.318,26.327,2.4855,""
query_0015,6,1,1,1,0.23831,103.29,42.988,2.8612,""
query_0016,6,1,1,1,0.20224,94.426,35.684,2.2084,""
query_0017,6,1,1,1,0.44926,117.64,67.986,37.943,""
query_0018,6,1,1,1,0.43422,828.46,139.54,820.12,""
query_0019,6,1,1,1,0.33555,105.26,1.8173,18.146,""
query_0020,6,1,1,1,0.38913,102.14,58.985,10.906,""
query_0021,6,1,1,1,0.20355,96.643,1.5122,1.9822,""
query_0022,6,1,1,1,0.20262,96.266,34.883,1.9928,""
query_0023,6,1,1,1,0.19953,96.961,40.877,2.5462,""
query_0024,6,1,1,1,0.18902,97.643,32.642,1.8719,""
query_0025,6,1,1,1,0.21481,98.321,33.885,1.4616,""
query_0026,6,1,1,1,0.19547,99.283,1.3472,1.777,""
query_0027,6,1,1,1,0.22062,101.56,38.487,2.8543,""
query_0028,6,1,1,1,0.29197,93.623,1.3757,2.0617,""
query_0029,6,1,1,1,0.32854,105.8,36.886,2.6693,""
query_0030,6,1,1,1,0.20567,105.61,34.251,1.9581,""
query_0031,6,1,1,1,0.28915,106.85,39.939,2.9776,""
query_0032,6,1,1,1,0.27873,106.6,36.147,1.9367,""
query_0033,6,1,1,1,0.2554,102.27,35.431,2.0587,""
query_0034,6,1,1,1,0.31521,104.2,1.4261,1.9573,""
query_0035,6,1,1,1,0.19606,101.94,35.818,2.4301,""
query_0036,6,1,1,1,0.20947,108.3,36.364,2.1217,""
query_0037,6,1,1,1,0.25938,109.95,37.172,2.4312,""
query_0038,6,1,1,1,0.24131,97.48,1.1817,1.6699,""
query_0039,6,1,1,1,0.52923,94.827,33.363,2.1564,""
query_0040,6,1,1,1,0.19757,99.327,1.3508,1.8111,""
query_0041,6,1,1,1,0.25792,91.545,33.395,2.369,""
query_0042,6,1,1,1,0.18441,91.383,1.1896,1.6772,""
query_0043,6,1,1,1,0.20779,91.951,33.427,2.2753,""
query_0044,6,1,1,1,0.15358,93.782,30.495,1.6072,""
query_0045,6,1,1,1,0.19578,93.862,28.933,1.7395,""
query_0046,6,1,1,1,0.22832,100.9,59.736,4.7985,""
query_0047,6,1,1,1,0.23352,103.86,65.246,8.355,""
query_0048,6,1,1,1,0.22014,101.55,69.196,13.175,""
query_0049,6,1,1,1,0.22017,92.624,1.2995,1.9279,""
query_0050,6,1,1,1,0.163,91.945,1.2061,1.5838,""
query_0051,6,1,1,1,0.2067,98.49,1.219,1.791,""
query_0052,6,1,1,1,0.20008,99.03,1.682,1.533,""
query_0053,6,1,1,1,0.18118,91.307,1.941,1.8893,""
query_0054,6,1,1,1,0.16384,91.048,34.051,1.6312,""
query_0055,6,1,1,1,0.19604,96.544,32.167,1.8049,""
query_0056,6,1,1,1,0.18254,100.8,33.894,1.5613,""
query_0057,6,1,1,1,0.19426,99.216,34.236,2.0651,""
query_0058,6,1,1,1,0.2022,95.378,32.319,1.4284,""
query_0059,6,1,1,1,0.1944,91.331,31.757,2.7633,""
query_0060,6,1,1,1,0.17141,93.006,32.543,1.421,""
query_0061,6,1,1,1,0.18194,89.775,30.658,2.0737,""
query_0062,6,1,1,1,0.17921,87.718,31.101,1.3318,""
query_0063,6,1,1,1,0.1836,93.89,31.963,2.7124,""
query_0064,6,1,1,1,0.20355,91.935,31.075,1.3714,""
query_0065,6,1,1,1,0.20677,90.202,31.853,1.9734,""
query_0066,6,1,1,1,0.15855,89.237,1.0839,1.5044,""
query_0067,6,1,1,1,0.21969,91.974,36.152,3.832,""
query_0068,6,1,1,1,0.28398,93.019,0.88797,3.0013,""
query_0069,6,1,1,1,0.1625,85.808,26.267,1.2828,""
query_0070,6,1,1,1,0.17054,85.905,26.106,1.3238,""
query_0071,6,1,1,1,0.18465,86.868,27.419,1.469,""
query_0072,6,1,1,1,0.23692,90.953,1.2472,2.3266,""
query_0073,6,1,1,1,0.22995,93.823,36.949,1.8513,""
query_0074,6,1,1,1,0.25329,99.645,54.632,5.0947,""
query_0075,6,1,1,1,0.16425,91.233,0.90636,1.8621,""
query_0076,6,1,1,1,0.18854,102.23,41.451,1.9407,""
query_0077,6,1,1,1,0.18372,92.351,28.274,1.4023,""
query_0078,6,1,1,1,0.18513,92.083,28.705,1.4307,""
query_0079,6,1,1,1,0.19556,91.778,29.749,1.4517,""
query_0080,6,1,1,1,0.2086,93.464,32.255,2.433,""
query_0081,6,1,1,1,0.17984,91.687,30.368,1.4579,""
query_0082,6,1,1,1,0.33887,92.228,28.929,1.3371,""
query_0083,6,1,1,1,0.18363,97.893,27.644,1.4821,""
query_0084,6,1,1,1,0.22551,95.555,1.1723,2.4407,""
query_0085,6,1,1,1,0.16478,92.701,24.857,1.1624,""
query_0086,6,1,1,1,0.19766,87.9,28.144,1.251,""
query_0087,6,1,1,1,0.18478,93.259,29.241,1.4808,""
query_0088,6,1,1,1,0.20814,92.902,0.84327,1.688,""
query_0089,6,1,1,1,0.21476,92.941,28.648,1.3707,""
query_0090,6,1,1,1,0.17484,87.695,28.185,1.2845,""
query_0091,6,1,1,1,0.17527,93.448,32.281,1.6372,""
query_0092,6,1,1,1,0.24059,93.841,0.9525,1.7214,""
query_0093,6,1,1,1,0.1803,94.064,28.168,1.4576,""
query_0094,6,1,1,1,0.16389,89.609,30.188,1.6105,""
query_0095,6,1,1,1,0.18427,90.713,29.462,1.2526,""
query_0096,6,1,1,1,0.23344,88.242,0.96316,2.3029,""
query_0097,6,1,1,1,0.15801,88.12,0.93445,1.3825,""
query_0098,6,1,1,1,0.25836,90.169,32.053,2.5176,""
query_0099,6,1,1,1,0.17727,88.279,28.762,3.2377,""
query_0100,6,1,1,1,0.28477,91.471,29.146,2.0595,""
query_0101,6,1,1,1,0.17931,95.245,28.988,3.1353,""
query_0102,6,1,1,1,0.23835,97.351,1.2289,2.1247,""
query_0103,6,1,1,1,0.17099,89.521,1.0045,1.5036,""
query_0104,6,1,1,1,0.27022,103.69,32.674,1.5707,""
query_0105,6,1,1,1,0.18248,103.1,1.0524,1.4174,""
query_0106,6,1,1,1,0.1666,162.59,60.696,4.0244,""
query_0107,6,1,1,1,0.41961,413.17,6.3826,2.5897,""
query_0108,6,1,1,1,0.70233,493.17,159.11,11.427,""
query_0109,6,1,1,1,0.67434,512.72,127.29,8.6053,""
query_0110,6,1,1,1,0.57864,453.5,189.06,7.5066,""
query_0111,6,1,1,1,0.53412,399.89,107.42,7.3225,""
query_0112,6,1,1,1,0.64615,382.82,209.98,18.237,""
query_0113,6,1,1,1,0.60456,431.82,197.51,6.2533,""
query_0114,6,1,1,1,0.58907,373.86,113.11,4.8672,""
query_0115,6,1,1,1,0.46069,416.22,11.912,16.025,""
query_0116,4,1,1,0,0.95685,453.52,0,0,"Not implemented Error: Operator type LIMIT not supported"
query_0117,6,1,1,1,6.1784,487.96,191.69,59.132,""
query_0118,6,1,1,1,6.0226,538.98,30.309,44.326,""
query_0119,6,1,1,1,0.73951,515.58,3.1652,21.416,""
query_0120,6,1,1,1,0.57287,401.79,9.2692,42.399,""
query_0121,6,1,1,1,9.6617,506.86,212.92,52.193,""
query_0122,6,1,1,1,1.9335,501.81,23.869,48.409,""
query_0123,6,1,1,1,0.64287,517.97,173.32,14.193,""
query_0124,6,1,1,1,0.73754,480.82,130.63,12.274,""
query_0125,6,1,1,1,3.5359,525.08,338.53,105.59,""
query_0126,6,1,1,1,4.1329,485.71,218.22,93.256,""
query_0127,6,1,1,1,1.7521,548.04,215.22,7.1892,""
query_0128,6,1,1,1,0.67685,443.56,170.59,16.918,""
query_0129,6,1,1,1,1.1352,503.43,345.76,67.089,""
query_0130,6,1,1,1,0.71656,480.91,170.88,6.4541,""
query_0131,6,1,1,1,0.7107,534.24,149.99,13.767,""
query_0132,6,1,1,1,1.0365,446.85,340.49,75.603,""
query_0133,6,1,1,1,1.0287,429.04,10.079,75.254,""
query_0134,6,1,1,1,0.63659,542.63,20.187,5.0217,""
query_0135,6,1,1,1,0.65578,491.31,159.84,8.8213,""
query_0136,6,1,1,1,5.0139,629.98,334.71,153.8,""
query_0137,6,1,1,1,0.67799,505.54,241.95,7.1033,""
query_0138,6,1,1,1,0.66997,541.24,184.4,12.373,""
query_0139,6,1,1,1,1.2941,674.74,244.97,125.45,""
query_0140,6,1,1,1,7.5965,554.21,206.69,8.4552,""
query_0141,6,1,1,1,0.84821,590.03,162.65,9.8191,""
query_0142,6,1,1,1,8.6005,564.97,354.61,105.16,""
query_0143,6,1,1,1,10.029,467.93,181.39,10.517,""
query_0144,6,1,1,1,0.69257,517.75,170.3,12.435,""
query_0145,6,1,1,1,1.1778,602.49,257.13,81.173,""
query_0146,6,1,1,1,0.79322,489.7,157.63,7.9379,""
query_0147,6,1,1,1,0.7728,381.72,104.98,19.739,""
query_0148,6,1,1,1,0.68873,436.31,209,41.902,""
query_0149,6,1,1,1,6.0329,554.19,218.21,53.994,""
query_0150,6,1,1,1,0.68907,503.9,2.9023,3.0614,""
query_0151,6,1,1,1,0.58633,492.17,13.692,11.499,""
query_0152,6,1,1,1,0.68942,504.43,15.799,18.43,""
query_0153,6,1,1,1,1.6061,504.31,9.7136,31.621,""
query_0154,6,1,1,1,2.0062,578,245.44,11.75,""
query_0155,6,1,1,1,2.7944,849.81,13.433,30.186,""
query_0156,6,1,1,1,7.701,2027.4,515.98,40.911,""
query_0157,6,1,1,1,7.3671,1440.2,35.495,45.603,""
query_0158,6,1,1,1,7.0152,1662.9,507.31,36.32,""
query_0159,6,1,1,1,1.616,912.62,528.14,29.032,""
query_0160,6,1,1,1,1.5355,1167.5,499.35,14.637,""
query_0161,6,1,1,1,7.289,1266.6,443.21,17.218,""
query_0162,6,1,1,1,1.361,1279.2,558.59,14.244,""
query_0163,6,1,1,1,6.1049,1335,385.66,17.059,""
query_0164,6,1,1,1,1.1148,1312.7,260.48,28.965,""
query_0165,6,1,1,1,1.6213,972.32,31.414,52.128,""
query_0166,6,1,1,1,6.3126,1101,49.889,32.155,""
query_0167,6,1,1,1,1.3477,1280.5,19.607,21.029,""
query_0168,6,1,1,1,1.3773,1070.7,433.06,31.412,""
query_0169,6,1,1,1,1.1951,982.35,386.33,23.487,""
query_0170,6,1,1,1,1.4901,1343.5,38.003,24.627,""
query_0171,6,1,1,1,4.0429,980.4,27.428,20.98,""
query_0172,6,1,1,1,1.0289,1097.3,12.858,27.782,""
query_0173,6,1,1,1,1.1285,1163.2,25.397,27.71,""
query_0174,6,1,1,1,1.2383,1081.5,34.781,40.195,""
query_0175,6,1,1,1,13.831,1411.4,20.112,23.824,""
query_0176,6,1,1,1,10.292,1037.8,28.064,42.013,""
query_0177,6,1,1,1,1.2202,1038,20.586,61.806,""
query_0178,6,1,1,1,6.4482,1076.9,28.603,35.071,""
query_0179,6,1,1,1,6.7917,1054,25.835,40.938,""
query_0180,6,1,1,1,4.592,1067.5,24.072,30.764,""
query_0181,6,1,1,1,1.2702,1120.9,19.388,20.841,""
query_0182,6,1,1,1,1.1806,922.27,14.115,41.409,""
query_0183,6,1,1,1,1.1046,1070.2,22.47,35.734,""
query_0184,6,1,1,1,1.1813,1166.3,19.189,29.492,""
query_0185,6,1,1,1,1.1335,955.14,26.142,29.308,""
query_0186,6,1,1,1,1.2363,1046.5,32.451,52.883,""
query_0187,6,1,1,1,1.4954,1248.2,10.18,35.83,""
query_0188,6,1,1,1,6.9137,1144.7,10.471,27.227,""
query_0189,6,1,1,1,1.2592,1020.3,29.372,14.674,""
query_0190,6,1,1,1,1.8085,1001.8,18.992,11.743,""
query_0191,6,1,1,1,1.1004,993.68,19.479,25.46,""
query_0192,6,1,1,1,1.3942,1174.1,10.123,13.634,""
query_0193,6,1,1,1,1.2052,886.56,15.887,13.434,""
query_0194,6,1,1,1,1.2102,1129.9,18.886,16.032,""
query_0195,6,1,1,1,1.056,789.21,303.21,46.874,""
query_0196,6,1,1,1,1.7886,1118.6,523.88,25.491,""
query_0197,6,1,1,1,1.3042,1024.4,400.37,20.289,""
query_0198,6,1,1,1,1.1171,1248.3,425.63,74.527,""
query_0199,6,1,1,1,1.1059,937.88,372.19,47.185,""
query_0200,6,1,1,1,1.1002,850.35,483.29,44.924,""
query_0201,6,1,1,1,1.4532,1014,304.72,63.157,""
query_0202,6,1,1,1,7.1441,962.07,477.41,56.494,""
query_0203,6,1,1,1,4.6182,1008.6,453.84,28.877,""
query_0204,6,1,1,1,0.97725,878.33,453.32,78.031,""
query_0205,6,1,1,1,1.247,1209.2,358.08,66.846,""
query_0206,6,1,1,1,1.3275,903.78,413.52,59.247,""
query_0207,6,1,1,1,3.5429,1234.6,550.67,63.643,""
query_0208,6,1,1,1,1.1909,1001.9,431.59,70.299,""
query_0209,6,1,1,1,3.861,930.7,347.98,58.227,""
query_0210,6,1,1,1,1.2302,1161.8,376.06,53.132,""
query_0211,6,1,1,1,1.1065,908.32,446.2,40.195,""
query_0212,6,1,1,1,1.1986,835.26,374.93,52.989,""
query_0213,6,1,1,1,1.4461,997.21,468.87,53.271,""
query_0214,6,1,1,1,1.2348,1030.3,480.67,48.412,""
